Name,Surname,PESEL,Examination Date,Examination Name,Systolic Pressure,Diastolic Pressure,Body Height,Body Weight,BMI,Heart Rate
Kaylee Mclean,Hill,69096604033,"PyQt5.QtCore.QDateTime(2018, 3, 29, 15, 20, 36)",BloodPressure,101,77,0,0,0,0
Jenny Jones,Robinson,32658493659,"PyQt5.QtCore.QDateTime(2018, 3, 13, 15, 20, 36)",BloodPressure,100,79,0,0,0,0
Jennifer Young,Ellison,78282818381,"PyQt5.QtCore.QDateTime(2018, 2, 24, 15, 20, 36)",BloodPressure,108,90,0,0,0,0
Hannah Torres,Santiago,38934406174,"PyQt5.QtCore.QDateTime(2018, 4, 19, 15, 20, 37)",BloodPressure,104,91,0,0,0,0
Rick Cowan,King,32920367557,"PyQt5.QtCore.QDateTime(2018, 4, 2, 15, 20, 37)",BloodPressure,106,70,0,0,0,0
Steven Hancock,Pennington,58592896615,"PyQt5.QtCore.QDateTime(2018, 1, 16, 15, 20, 37)",BloodPressure,109,86,0,0,0,0
David Parker,Torres,90587952272,"PyQt5.QtCore.QDateTime(2018, 2, 2, 15, 20, 37)",BloodPressure,109,95,0,0,0,0
,,,"PyQt5.QtCore.QDateTime(2018, 2, 19, 15, 20, 37)",BloodPressure,103,71,0,0,0,0
Stacy King,Benjamin,21604625546,"PyQt5.QtCore.QDateTime(2018, 2, 28, 15, 20, 37)",BloodPressure,106,76,0,0,0,0
Kaylee Mclean,Hill,69096604033,"PyQt5.QtCore.QDateTime(2018, 1, 17, 15, 20, 37)",BloodPressure,108,87,0,0,0,0
Bradley Hall,Foster,60506231397,"PyQt5.QtCore.QDateTime(2018, 4, 18, 15, 20, 38)",BloodPressure,107,99,0,0,0,0
Alexander Miller,Perez,94278947263,"PyQt5.QtCore.QDateTime(2018, 1, 15, 15, 20, 38)",BloodPressure,103,75,0,0,0,0
Paul Moore,Gonzales,65957022551,"PyQt5.QtCore.QDateTime(2018, 2, 11, 15, 20, 38)",BloodPressure,103,79,0,0,0,0
Curtis Johnson,Campbell,21266911513,"PyQt5.QtCore.QDateTime(2018, 3, 30, 15, 20, 39)",BloodPressure,109,61,0,0,0,0
Johnny Haynes,Carlson,19897735888,"PyQt5.QtCore.QDateTime(2018, 3, 27, 15, 20, 39)",BloodPressure,103,81,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 3, 8, 15, 20, 39)",BloodPressure,103,79,0,0,0,0
Dawn Ryan,Ross,48620353999,"PyQt5.QtCore.QDateTime(2018, 2, 17, 15, 20, 39)",BloodPressure,102,60,0,0,0,0
Robert Flores,Reed,45052941770,"PyQt5.QtCore.QDateTime(2018, 3, 31, 15, 20, 39)",BloodPressure,105,90,0,0,0,0
,,,"PyQt5.QtCore.QDateTime(2018, 2, 4, 15, 20, 39)",BloodPressure,109,76,0,0,0,0
Megan Meyer,Gross,76983361804,"PyQt5.QtCore.QDateTime(2018, 1, 28, 15, 20, 40)",BloodPressure,102,75,0,0,0,0
David Parker,Torres,90587952272,"PyQt5.QtCore.QDateTime(2018, 1, 23, 15, 20, 40)",BloodPressure,104,92,0,0,0,0
