Name,Surname,PESEL,Examination Date,Examination Name,Systolic Pressure,Diastolic Pressure,Body Height,Body Weight,BMI,Heart Rate
Gabriel,Shelton,29532183440,"PyQt5.QtCore.QDateTime(2018, 3, 13, 19, 26, 6)",BloodPressure,140,67,0,0,0,0
Jessica,Cunningham,42837581362,"PyQt5.QtCore.QDateTime(2018, 3, 27, 19, 26, 7)",BloodPressure,140,79,0,0,0,0
Billy,Lamb,18783479846,"PyQt5.QtCore.QDateTime(2018, 4, 4, 19, 26, 7)",BloodPressure,140,90,0,0,0,0
Joshua,Johnson,87829508774,"PyQt5.QtCore.QDateTime(2018, 3, 4, 19, 26, 10)",BloodPressure,139,97,0,0,0,0
Christopher,Baker,80529454614,"PyQt5.QtCore.QDateTime(2018, 1, 27, 19, 26, 10)",BloodPressure,139,97,0,0,0,0
Courtney,Smith,80275157379,"PyQt5.QtCore.QDateTime(2018, 2, 12, 19, 26, 10)",BloodPressure,140,85,0,0,0,0
Eric,Moore,72019147493,"PyQt5.QtCore.QDateTime(2018, 5, 2, 19, 26, 11)",BloodPressure,140,64,0,0,0,0
Dennis,Boyle,28875680172,"PyQt5.QtCore.QDateTime(2018, 3, 10, 19, 26, 11)",BloodPressure,139,61,0,0,0,0
Frank,Martinez,41110449754,"PyQt5.QtCore.QDateTime(2018, 2, 12, 19, 26, 12)",BloodPressure,139,86,0,0,0,0
Patricia,Perez,96292765206,"PyQt5.QtCore.QDateTime(2018, 3, 6, 19, 26, 14)",BloodPressure,140,68,0,0,0,0
Kyle,Williams,33394594366,"PyQt5.QtCore.QDateTime(2018, 4, 1, 19, 26, 14)",BloodPressure,139,67,0,0,0,0
Jennifer,Wade,15813454937,"PyQt5.QtCore.QDateTime(2018, 4, 14, 19, 26, 15)",BloodPressure,140,60,0,0,0,0
Christina,Walton,65184982684,"PyQt5.QtCore.QDateTime(2018, 2, 17, 19, 26, 16)",BloodPressure,139,90,0,0,0,0
Tanner,Guerra,16051515459,"PyQt5.QtCore.QDateTime(2018, 2, 2, 19, 26, 16)",BloodPressure,140,95,0,0,0,0
Frank,Martinez,15105813811,"PyQt5.QtCore.QDateTime(2018, 4, 9, 19, 26, 17)",BloodPressure,139,61,0,0,0,0
Gabriel,Shelton,29532183440,"PyQt5.QtCore.QDateTime(2018, 1, 28, 19, 26, 19)",BloodPressure,139,100,0,0,0,0
Jorge,Rosario,79816154267,"PyQt5.QtCore.QDateTime(2018, 2, 25, 19, 26, 20)",BloodPressure,139,85,0,0,0,0
Keith,Lewis,21824505549,"PyQt5.QtCore.QDateTime(2018, 2, 8, 19, 26, 21)",BloodPressure,140,92,0,0,0,0
Kenneth,Le,64299075766,"PyQt5.QtCore.QDateTime(2018, 4, 2, 19, 26, 21)",BloodPressure,140,78,0,0,0,0
Frank,Martinez,41110449754,"PyQt5.QtCore.QDateTime(2018, 3, 27, 19, 26, 24)",BloodPressure,140,81,0,0,0,0
Ryan,Collins,64946002042,"PyQt5.QtCore.QDateTime(2018, 2, 27, 19, 26, 25)",BloodPressure,139,74,0,0,0,0
Allison,Wilson,37796934694,"PyQt5.QtCore.QDateTime(2018, 3, 4, 19, 26, 26)",BloodPressure,139,92,0,0,0,0
Nicole,Atkinson,12293980645,"PyQt5.QtCore.QDateTime(2018, 3, 21, 19, 26, 27)",BloodPressure,140,96,0,0,0,0
Matthew,Warner,69979115720,"PyQt5.QtCore.QDateTime(2018, 4, 18, 19, 26, 28)",BloodPressure,140,62,0,0,0,0
Timothy,Brock,26793460493,"PyQt5.QtCore.QDateTime(2018, 3, 16, 19, 26, 28)",BloodPressure,140,93,0,0,0,0
Dennis,Boyle,28875680172,"PyQt5.QtCore.QDateTime(2018, 3, 18, 19, 26, 29)",BloodPressure,139,85,0,0,0,0
Timothy,Brock,26793460493,"PyQt5.QtCore.QDateTime(2018, 2, 25, 19, 26, 30)",BloodPressure,140,60,0,0,0,0
Matthew,Moore,22926326372,"PyQt5.QtCore.QDateTime(2018, 2, 3, 19, 26, 32)",BloodPressure,140,74,0,0,0,0
Katherine,Rangel,13013230533,"PyQt5.QtCore.QDateTime(2018, 2, 3, 19, 26, 33)",BloodPressure,139,64,0,0,0,0
Eric,Moore,72019147493,"PyQt5.QtCore.QDateTime(2018, 4, 19, 19, 26, 33)",BloodPressure,139,60,0,0,0,0
Deborah,Walker,30375759990,"PyQt5.QtCore.QDateTime(2018, 4, 8, 19, 26, 33)",BloodPressure,139,87,0,0,0,0
Lucas,Montoya,93782064346,"PyQt5.QtCore.QDateTime(2018, 2, 8, 19, 26, 34)",BloodPressure,139,62,0,0,0,0
Lindsey,Cervantes,18527903568,"PyQt5.QtCore.QDateTime(2018, 5, 7, 19, 26, 35)",BloodPressure,140,62,0,0,0,0
Katherine,Hill,62420855031,"PyQt5.QtCore.QDateTime(2018, 3, 4, 19, 26, 36)",BloodPressure,140,95,0,0,0,0
Jack,Allen,31461114201,"PyQt5.QtCore.QDateTime(2018, 3, 22, 19, 26, 40)",BloodPressure,139,99,0,0,0,0
Francisco,Phillips,41662440069,"PyQt5.QtCore.QDateTime(2018, 5, 5, 19, 26, 40)",BloodPressure,139,79,0,0,0,0
Valerie,Miles,24414877433,"PyQt5.QtCore.QDateTime(2018, 3, 6, 19, 26, 40)",BloodPressure,140,64,0,0,0,0
Allison,Wilson,37796934694,"PyQt5.QtCore.QDateTime(2018, 4, 26, 19, 26, 41)",BloodPressure,139,83,0,0,0,0
Nathan,Freeman,82144515535,"PyQt5.QtCore.QDateTime(2018, 3, 8, 19, 26, 41)",BloodPressure,140,90,0,0,0,0
Jessica,Cunningham,42837581362,"PyQt5.QtCore.QDateTime(2018, 3, 11, 19, 26, 41)",BloodPressure,140,98,0,0,0,0
Sarah,Thompson,69964297134,"PyQt5.QtCore.QDateTime(2018, 5, 1, 19, 26, 42)",BloodPressure,139,71,0,0,0,0
Christina,Walton,65184982684,"PyQt5.QtCore.QDateTime(2018, 2, 1, 19, 26, 42)",BloodPressure,140,66,0,0,0,0
Heather,Baker,88805940495,"PyQt5.QtCore.QDateTime(2018, 3, 26, 19, 26, 47)",BloodPressure,139,72,0,0,0,0
Jack,Hernandez,18563134885,"PyQt5.QtCore.QDateTime(2018, 2, 26, 19, 26, 48)",BloodPressure,139,86,0,0,0,0
Keith,Lewis,21824505549,"PyQt5.QtCore.QDateTime(2018, 3, 21, 19, 26, 49)",BloodPressure,139,83,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 5, 6, 19, 26, 49)",BloodPressure,139,92,0,0,0,0
Francisco,Phillips,41662440069,"PyQt5.QtCore.QDateTime(2018, 4, 14, 19, 26, 50)",BloodPressure,139,85,0,0,0,0
Christopher,Baker,80529454614,"PyQt5.QtCore.QDateTime(2018, 3, 7, 19, 26, 52)",BloodPressure,140,81,0,0,0,0
Lori,Cooper,29996364708,"PyQt5.QtCore.QDateTime(2018, 4, 2, 19, 26, 53)",BloodPressure,139,67,0,0,0,0
Sarah,Thompson,69964297134,"PyQt5.QtCore.QDateTime(2018, 3, 23, 19, 26, 55)",BloodPressure,139,74,0,0,0,0
Megan,Hunter,26921973326,"PyQt5.QtCore.QDateTime(2018, 2, 17, 19, 26, 55)",BloodPressure,140,72,0,0,0,0
Donald,Rogers,70674217956,"PyQt5.QtCore.QDateTime(2018, 4, 12, 19, 26, 56)",BloodPressure,139,82,0,0,0,0
Kathleen,Rodriguez,94900795515,"PyQt5.QtCore.QDateTime(2018, 4, 1, 19, 26, 57)",BloodPressure,139,75,0,0,0,0
Whitney,Santiago,18405375507,"PyQt5.QtCore.QDateTime(2018, 4, 22, 19, 26, 57)",BloodPressure,139,96,0,0,0,0
Samuel,Thompson,45642689582,"PyQt5.QtCore.QDateTime(2018, 2, 16, 19, 27, 1)",BloodPressure,139,80,0,0,0,0
Keith,Lewis,21824505549,"PyQt5.QtCore.QDateTime(2018, 2, 13, 19, 27, 3)",BloodPressure,139,74,0,0,0,0
Donald,Rogers,70674217956,"PyQt5.QtCore.QDateTime(2018, 3, 18, 19, 27, 4)",BloodPressure,140,67,0,0,0,0
Darren,Smith,80825590590,"PyQt5.QtCore.QDateTime(2018, 4, 1, 19, 27, 7)",BloodPressure,140,67,0,0,0,0
Tanner,Guerra,16051515459,"PyQt5.QtCore.QDateTime(2018, 3, 24, 19, 27, 7)",BloodPressure,139,62,0,0,0,0
Amber,Rogers,87704202166,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 27, 10)",BloodPressure,139,95,0,0,0,0
Courtney,Smith,80275157379,"PyQt5.QtCore.QDateTime(2018, 2, 24, 19, 27, 13)",BloodPressure,140,66,0,0,0,0
Jordan,Nash,70483374663,"PyQt5.QtCore.QDateTime(2018, 2, 28, 19, 27, 14)",BloodPressure,139,90,0,0,0,0
Thomas,Hall,81000160269,"PyQt5.QtCore.QDateTime(2018, 2, 26, 19, 27, 14)",BloodPressure,140,87,0,0,0,0
Destiny,Morse,19139155212,"PyQt5.QtCore.QDateTime(2018, 5, 3, 19, 27, 16)",BloodPressure,140,81,0,0,0,0
Frank,Martinez,41110449754,"PyQt5.QtCore.QDateTime(2018, 4, 11, 19, 27, 18)",BloodPressure,139,94,0,0,0,0
Katherine,Rangel,13013230533,"PyQt5.QtCore.QDateTime(2018, 2, 24, 19, 27, 19)",BloodPressure,140,81,0,0,0,0
Nicole,Atkinson,12293980645,"PyQt5.QtCore.QDateTime(2018, 3, 6, 19, 27, 20)",BloodPressure,140,95,0,0,0,0
Jonathan,Green,83101115364,"PyQt5.QtCore.QDateTime(2018, 3, 31, 19, 27, 20)",BloodPressure,139,81,0,0,0,0
Matthew,Moore,22926326372,"PyQt5.QtCore.QDateTime(2018, 2, 19, 19, 27, 23)",BloodPressure,139,99,0,0,0,0
Roger,Jackson,36705549864,"PyQt5.QtCore.QDateTime(2018, 4, 14, 19, 27, 26)",BloodPressure,140,98,0,0,0,0
Carolyn,Turner,97804275839,"PyQt5.QtCore.QDateTime(2018, 3, 11, 19, 27, 26)",BloodPressure,140,86,0,0,0,0
Thomas,Hall,81000160269,"PyQt5.QtCore.QDateTime(2018, 3, 26, 19, 27, 27)",BloodPressure,139,80,0,0,0,0
Denise,Parker,55767648748,"PyQt5.QtCore.QDateTime(2018, 2, 17, 19, 27, 28)",BloodPressure,139,74,0,0,0,0
Roger,Jackson,36705549864,"PyQt5.QtCore.QDateTime(2018, 4, 9, 19, 27, 32)",BloodPressure,140,89,0,0,0,0
Melissa,Harrington,25114087904,"PyQt5.QtCore.QDateTime(2018, 3, 31, 19, 27, 32)",BloodPressure,139,79,0,0,0,0
Ryan,Collins,64946002042,"PyQt5.QtCore.QDateTime(2018, 2, 22, 19, 27, 33)",BloodPressure,140,87,0,0,0,0
Kara,Patton,96742100444,"PyQt5.QtCore.QDateTime(2018, 2, 27, 19, 27, 35)",BloodPressure,139,78,0,0,0,0
Shelby,Smith,66686525785,"PyQt5.QtCore.QDateTime(2018, 2, 10, 19, 27, 35)",BloodPressure,139,67,0,0,0,0
Gabrielle,Ortiz,79825672535,"PyQt5.QtCore.QDateTime(2018, 4, 29, 19, 27, 35)",BloodPressure,140,73,0,0,0,0
Sharon,Peterson,66150763794,"PyQt5.QtCore.QDateTime(2018, 3, 12, 19, 27, 36)",BloodPressure,139,96,0,0,0,0
Andre,Miller,20135396754,"PyQt5.QtCore.QDateTime(2018, 4, 5, 19, 27, 37)",BloodPressure,139,65,0,0,0,0
Billy,Lamb,18783479846,"PyQt5.QtCore.QDateTime(2018, 2, 7, 19, 27, 40)",BloodPressure,139,93,0,0,0,0
Kathleen,Rodriguez,94900795515,"PyQt5.QtCore.QDateTime(2018, 4, 2, 19, 27, 40)",BloodPressure,140,62,0,0,0,0
Miranda,Torres,67102031123,"PyQt5.QtCore.QDateTime(2018, 2, 6, 19, 27, 44)",BloodPressure,139,76,0,0,0,0
Gabriel,Shelton,29532183440,"PyQt5.QtCore.QDateTime(2018, 2, 12, 19, 27, 45)",BloodPressure,139,88,0,0,0,0
Eric,Moore,72019147493,"PyQt5.QtCore.QDateTime(2018, 3, 20, 19, 27, 45)",BloodPressure,139,66,0,0,0,0
Jorge,Rosario,79816154267,"PyQt5.QtCore.QDateTime(2018, 2, 6, 19, 27, 48)",BloodPressure,139,61,0,0,0,0
Michael,Anderson,76673107244,"PyQt5.QtCore.QDateTime(2018, 4, 22, 19, 27, 56)",BloodPressure,140,63,0,0,0,0
Joseph,Banks,75680551355,"PyQt5.QtCore.QDateTime(2018, 2, 1, 19, 27, 56)",BloodPressure,139,61,0,0,0,0
Matthew,Moore,22926326372,"PyQt5.QtCore.QDateTime(2018, 2, 15, 19, 27, 57)",BloodPressure,140,88,0,0,0,0
Anna,Mills,15861207621,"PyQt5.QtCore.QDateTime(2018, 2, 11, 19, 27, 58)",BloodPressure,139,63,0,0,0,0
Joshua,Johnson,87829508774,"PyQt5.QtCore.QDateTime(2018, 4, 13, 19, 27, 59)",BloodPressure,140,63,0,0,0,0
