Name,Surname,PESEL,Examination Date,Examination Name,Systolic Pressure,Diastolic Pressure,Body Height,Body Weight,BMI,Heart Rate
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 47, 56)",Wellness,0,0,184,66,19,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 47, 58)",Wellness,0,0,152,98,42,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48)",Wellness,0,0,150,65,29,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 2)",Wellness,0,0,169,126,44,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 4)",Wellness,0,0,154,52,22,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 6)",Wellness,0,0,167,66,24,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 8)",Wellness,0,0,192,135,37,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 10)",Wellness,0,0,165,87,32,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 12)",Wellness,0,0,150,115,51,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 14)",Wellness,0,0,170,51,18,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 16)",Wellness,0,0,187,115,33,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 18)",Wellness,0,0,182,123,37,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 20)",Wellness,0,0,164,45,17,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 22)",Wellness,0,0,197,70,18,0
Haley,Miller,80765360046,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 48, 24)",Wellness,0,0,190,54,15,0
