Name,Surname,PESEL,Examination Date,Examination Name,Systolic Pressure,Diastolic Pressure,Body Height,Body Weight,BMI,Heart Rate
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 1, 18, 15, 20, 36)",Heart Rate,0,0,0,0,0,92
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 3, 8, 15, 20, 39)",BloodPressure,103,79,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 1, 20, 15, 20, 40)",BloodPressure,115,94,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 3, 27, 15, 20, 41)",Heart Rate,0,0,0,0,0,81
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 25, 15, 20, 42)",Wellness,0,0,161,69,27,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 3, 23, 15, 20, 47)",Wellness,0,0,198,140,36,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 4, 15, 20, 47)",BloodPressure,114,95,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 18, 15, 20, 54)",BloodPressure,118,83,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 1, 18, 15, 20, 54)",BloodPressure,139,83,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 4, 15, 20, 57)",Heart Rate,0,0,0,0,0,66
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 1, 8, 15, 21, 1)",BloodPressure,104,90,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 4, 1, 15, 21, 3)",Wellness,0,0,156,82,34,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 2, 15, 21, 5)",Heart Rate,0,0,0,0,0,62
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 7, 15, 21, 7)",Wellness,0,0,199,74,19,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 9, 15, 21, 10)",BloodPressure,120,83,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 4, 6, 15, 21, 12)",BloodPressure,135,70,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 3, 30, 15, 21, 12)",BloodPressure,140,78,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 7, 15, 21, 14)",BloodPressure,114,67,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 1, 29, 15, 21, 17)",Heart Rate,0,0,0,0,0,78
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 4, 19, 15, 21, 18)",Heart Rate,0,0,0,0,0,93
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 4, 15, 15, 21, 18)",BloodPressure,114,84,0,0,0,0
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 20, 15, 21, 22)",Heart Rate,0,0,0,0,0,86
Cynthia Cowan,Williamson,66563142949,"PyQt5.QtCore.QDateTime(2018, 2, 2, 15, 21, 22)",Heart Rate,0,0,0,0,0,73
